uf;cidade;id;voos_decolagens;passageiros_embarcados;carga_despachada
SC;Florianópolis;159;532;1707779.0;2704708.0
SC;Jaguaruna;160;45;64854.0;86995.0
SC;Joinville;161;100;211989.0;576825.0
SC;Navegantes;162;198;1095491.0;3972668.0
SE;Aracaju;163;183;577096.0;447537.0
SP;Araçatuba;164;42;45668.0;27523.0
SP;Arealva;165;41;25964.0;5549.0
SP;Bragança Paulista;166;2;0.0;0.0
SP;Campinas;167;1552;5505953.0;49990202.0
SP;Fernandópolis;168;2;0.0;0.0
SP;Guarulhos;169;2331;13367630.0;88539617.0
SP;Jundiaí;170;119;197.0;10387.0
SP;Marília;171;16;16732.0;4212.0
SP;Pirassununga;172;1;0.0;0.0
SP;Presidente Prudente;173;99;139613.0;159468.0
SP;Ribeirão Preto;174;321;306884.0;254188.0
SP;Sorocaba;175;7;0.0;0.0
SP;São Carlos;176;41;0.0;0.0
SP;São José Do Rio Preto;177;219;358631.0;167636.0
SP;São José Dos Campos;178;77;0.0;52978.0
SP;São Paulo;179;1307;10909911.0;22300771.0
TO;Araguaína;180;15;7643.0;477.0
TO;Palmas;181;162;346344.0;483807.0
